Country,City,Latitude (Degrees),Longitude (Degrees),Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
PH,marawi,7.9986,124.2928,82.0,82,90,8.01
RU,kupino,54.3663,77.2981,24.37,98,100,8.48
LY,nalut,30.3333,10.85,37.92,83,2,11.36
CL,arica,-18.475,-70.3042,69.8,73,0,3.44
BR,rio grande,-32.035,-52.0986,66.99,97,100,5.35
US,marquette,46.5333,-87.6335,-7.01,63,70,7.0
TR,anamur,36.0751,32.8369,51.8,93,40,5.75
OM,sur,22.5667,59.5289,76.1,58,0,9.46
BJ,porto novo,6.4965,2.6036,82.4,89,40,10.36
CN,hami,42.8,93.45,40.86,56,16,4.81
CO,puerto leguizamo,-0.1934,-74.7819,73.71,90,78,1.34
JP,nemuro,43.3236,145.575,33.8,93,75,8.05
RU,tiksi,71.6872,128.8694,-17.28,89,100,5.35
AU,port hedland,-20.3167,118.5667,93.2,49,76,18.41
NO,berlevag,70.8578,29.0864,33.8,69,75,20.71
IN,ginda,30.6945,78.4932,64.4,68,95,3.44
LR,buchanan,5.8808,-10.0467,78.64,86,11,3.09
RU,talnakh,69.4865,88.3972,-28.03,81,10,7.49
UA,russkaya polyana,49.417,31.9201,14.32,97,63,2.37
RU,preobrazheniye,42.9019,133.9064,30.58,97,100,10.11
MX,cabo san lucas,22.8909,-109.9124,64.4,52,40,8.05
CA,thompson,55.7435,-97.8558,-9.4,77,40,4.61
TL,airai,-8.9266,125.4092,72.7,74,99,4.72
CN,baoshan,46.5586,131.4244,4.21,89,100,11.7
MY,kota bahru,6.1333,102.2386,84.2,65,40,8.05
MX,san quintin,30.4833,-115.95,55.85,77,31,8.12
MV,mahibadhoo,3.7833,72.9667,81.14,72,77,12.55
AU,wonthaggi,-38.6044,145.5913,82.99,61,48,17.67
EC,puerto ayora,-0.7393,-90.3518,75.99,92,87,1.01
US,half moon bay,37.4636,-122.4286,54.0,100,90,6.91
AU,broken hill,-31.95,141.4333,89.6,19,0,13.8
CN,changji,44.0167,87.3167,17.6,93,75,4.47
RU,dikson,73.5069,80.5464,-22.67,86,100,14.52
UA,khorol,49.7837,33.2783,2.8,94,1,3.15
AR,mar del plata,-38.0023,-57.5575,66.99,100,40,6.91
NZ,kaitangata,-46.2817,169.8464,60.01,68,85,8.99
SE,timra,62.487,17.3257,18.0,92,0,2.3
US,humboldt,40.6665,-123.9178,50.0,93,90,16.11
RU,cherskiy,68.75,161.3,-7.58,90,98,2.95
IN,basavana bagevadi,16.5833,75.9667,85.14,22,2,7.23
MX,tabasco,18.0,-92.6667,68.65,86,0,2.8
SY,abu kamal,34.4506,40.9171,60.31,40,0,8.43
BR,imbituba,-28.24,-48.6703,71.6,83,20,5.75
RU,leningradskiy,69.3833,178.4167,-14.51,85,0,5.32
US,lompoc,34.6391,-120.4579,51.8,76,1,6.91
MG,ambilobe,-13.2,49.05,81.43,80,99,1.83
RU,yaroslavskaya,44.6106,40.4642,22.66,97,100,8.99
GA,port-gentil,-0.7193,8.7815,78.8,94,40,14.74
ZA,east london,-33.0153,27.9116,66.2,88,40,26.46
CD,kongolo,-5.3833,27.0,74.37,92,100,1.3
SE,uddevalla,58.3478,11.9424,28.0,85,100,5.75
BR,caravelas,-17.7125,-39.2481,73.94,87,98,6.24
FO,vestmanna,62.1564,-7.1664,44.6,93,75,12.66
US,sitka,57.0531,-135.33,33.8,55,90,6.73
BR,pauini,-7.7136,-66.9764,72.9,97,100,3.33
US,bellmead,31.594,-97.1089,12.2,85,90,12.66
GF,cayenne,4.9333,-52.3333,77.0,88,90,6.91
CN,urumqi,43.801,87.6005,17.6,93,75,4.47
SA,jizan,17.3333,42.6667,78.8,73,20,6.44
US,portland,45.5234,-122.6762,33.01,86,90,14.97
GB,great yarmouth,52.6083,1.7305,39.2,93,90,9.22
CN,taikang,46.8333,124.4167,6.3,81,10,8.57
CL,ancud,-41.8697,-73.8203,50.0,81,0,2.3
US,juneau,58.3019,-134.4197,25.0,42,75,3.44
MU,souillac,-20.5167,57.5167,82.4,78,75,4.61
PT,ourem,39.6417,-8.5919,53.6,76,0,8.05
MN,baruun-urt,46.6806,113.2792,1.0,89,63,10.16
AU,mildura,-34.2,142.15,91.4,22,0,5.75
JP,naze,28.3667,129.4833,66.2,63,40,20.71
PE,pisco,-13.7,-76.2167,70.0,83,0,2.3
RU,teya,60.3778,92.6267,-6.79,84,56,3.74
IN,saiha,22.4833,92.9667,83.34,14,0,4.7
AU,bendigo,-36.7667,144.2833,89.01,40,52,1.01
GL,maniitsoq,65.4167,-52.9,5.16,92,98,13.15
PF,fare,-16.7,-151.0167,82.04,73,84,9.22
NZ,takapau,-40.0333,176.35,59.32,95,100,2.84
NA,luderitz,-26.6481,15.1594,66.29,62,0,21.79
CO,cubara,7.0008,-72.1085,71.8,72,100,4.56
ZA,hermanus,-34.4187,19.2345,64.99,61,47,3.0
ID,labuhan,-6.8844,112.2051,83.48,75,63,7.36
GL,ilulissat,69.2167,-51.1,8.6,66,90,8.05
ID,kupang,-10.1667,123.5833,86.0,74,75,12.66
US,woodward,36.4337,-99.3904,-2.2,77,75,14.97
UY,chuy,-33.6971,-53.4616,67.62,90,96,2.08
VE,puerto ayacucho,5.6639,-67.6236,78.71,63,68,7.36
AU,byron bay,-28.65,153.6167,78.8,65,11,20.71
RU,imeni karla libknekhta,51.6232,35.4775,-0.4,92,0,3.6
GB,blyth,55.1271,-1.5086,39.0,93,40,6.91
ZA,kruisfontein,-34.0033,24.7314,66.99,81,84,8.99
US,fortuna,40.5982,-124.1573,50.0,93,90,16.11
RU,ola,59.5833,151.2833,-2.81,83,67,3.49
KM,fomboni,-12.28,43.7425,83.41,79,73,21.74
ID,sampit,-2.5333,112.95,83.44,81,100,2.86
PT,ponta do sol,32.6667,-17.1,54.0,71,25,3.0
BR,amarante do maranhao,-5.5667,-46.7422,71.92,98,100,1.57
BR,varzea da palma,-17.5981,-44.7308,69.62,92,100,1.52
NA,otavi,-19.65,17.3333,65.07,84,89,8.1
NO,vardo,70.3705,31.1107,15.8,86,75,3.44
RU,provideniya,64.3833,-173.3,12.2,73,20,24.61
CA,fort nelson,58.8053,-122.7002,-13.0,77,75,2.3
MR,adrar,20.5022,-10.0711,61.74,31,0,16.06
US,saint george,37.1041,-113.5841,41.0,48,1,5.75
RU,kargopol,61.5071,38.9456,-13.11,89,3,4.61
US,broome,42.2506,-75.833,21.99,73,1,4.61
RU,vanavara,60.34,102.2797,-19.03,82,21,1.61
PL,wladyslawowo,54.7909,18.4009,24.01,86,40,9.22
RU,ostrovnoy,68.0531,39.5131,12.29,94,100,9.48
BR,balsas,-7.5325,-46.0356,72.68,95,100,3.33
CA,rocky mountain house,52.3668,-114.9188,-9.4,77,93,9.22
JP,namie,37.4833,141.0,57.0,96,100,1.01
IN,harindanga,22.0383,88.3214,78.8,78,20,8.68
US,la palma,33.8464,-118.0467,61.0,29,1,5.75
ID,pringsewu,-5.3582,104.9744,87.48,64,61,6.55
AU,mount gambier,-37.8333,140.7667,78.8,47,76,16.11
AU,seddon,-37.8068,144.8916,81.0,44,42,4.61
MR,atar,20.5169,-13.0499,63.52,28,0,11.05
UA,horodnytsya,50.807,27.3168,12.58,97,100,6.51
ID,cileunyi,-6.9389,107.7528,83.1,60,64,5.86
CA,clyde river,70.4692,-68.5914,-16.6,83,52,2.24
RU,yerbogachen,61.2767,108.0108,-23.69,83,32,4.5
IS,grindavik,63.8424,-22.4338,35.6,93,75,8.05
SB,auki,-8.7676,160.7034,82.44,78,30,7.27
RU,nadym,65.5333,72.5167,-13.02,89,100,20.27
US,kodiak,57.79,-152.4072,39.2,87,90,5.75
GA,gamba,-2.65,10.0,78.98,86,100,8.43
CV,sao filipe,14.8961,-24.4956,69.57,77,63,7.99
CA,torbay,47.6666,-52.7314,24.01,79,90,12.66
RU,beringovskiy,63.05,179.3167,-0.78,88,97,19.73
CN,jiayuguan,39.8167,98.3,40.03,57,98,4.97
PT,praia da vitoria,38.7333,-27.0667,52.0,76,20,21.72
LK,matara,5.9485,80.5353,86.11,62,74,5.23
IS,hofn,64.2539,-15.2082,42.58,88,100,20.89
TR,nevsehir,38.9167,34.6667,35.6,87,0,9.22
AU,codrington,-38.2667,141.9667,69.21,65,81,13.02
CA,burns lake,54.2331,-125.7533,14.0,85,100,2.35
CA,iqaluit,63.7506,-68.5145,-2.2,78,90,5.75
RU,khatanga,71.9667,102.5,-34.29,81,45,1.19
NO,sorland,67.667,12.6934,32.0,86,75,3.44
NO,skjervoy,70.0311,20.9714,35.6,75,75,17.27
IN,mormugao,15.4,73.8,80.6,69,37,5.75
US,bethel,41.3712,-73.414,30.2,64,90,6.91
MX,ahome,25.9167,-109.1833,53.01,90,88,1.01
CN,zhangye,38.9342,100.4517,41.49,54,75,6.76
PG,kieta,-6.2167,155.6333,83.44,76,62,7.2
TT,siparia,10.1333,-61.5,75.0,93,74,14.83
CL,constitucion,-35.3333,-72.4167,55.56,87,1,5.14
AU,nelson bay,-32.7167,152.15,71.6,68,90,24.16
VU,sola,-13.8833,167.55,82.54,80,73,12.24
IS,husavik,66.0449,-17.3389,35.6,87,90,5.75
GB,brae,60.3964,-1.353,44.6,93,59,14.97
BR,cidreira,-30.1811,-50.2056,71.17,86,97,6.69
IT,bose,45.4612,8.0137,30.0,68,14,3.22
PE,hualmay,-11.0964,-77.6139,70.81,79,5,6.76
CM,tibati,6.4667,12.6333,61.16,33,54,0.2
MY,sandakan,5.8402,118.1179,82.4,74,20,9.22
RU,chokurdakh,70.6333,147.9167,-9.13,90,100,8.32
CA,goderich,43.7501,-81.7165,17.6,86,100,3.44
US,garden city,42.3256,-83.331,18.0,57,90,9.22
RU,puteyets,65.1716,57.091,-10.62,90,100,2.82
MN,ulaanbaatar,47.9077,106.8832,6.8,51,0,20.13
SO,qandala,11.472,49.8728,76.5,47,10,7.02
ID,bambanglipuro,-7.95,110.2833,85.15,67,57,6.53
IS,olafsvik,64.8945,-23.7142,40.71,88,100,13.49
FR,saint-nazaire,47.2833,-2.2,46.99,87,0,17.27
MX,ixtapa,20.7,-105.2,68.0,77,90,2.21
RU,vostok,46.4856,135.8833,13.51,97,100,6.08
SA,turayf,31.6725,38.6637,50.0,76,0,4.61
RE,saint-philippe,-21.3585,55.7679,84.2,65,20,6.91
IN,port blair,11.6667,92.75,82.4,78,75,4.61
RU,strezhevoy,60.7333,77.5889,17.6,93,75,8.95
EG,marsa matruh,31.3525,27.2453,50.0,76,0,14.97
RU,mayskiy,47.6931,40.1025,12.2,85,0,4.47
TH,nong ki,14.6868,102.538,91.4,58,0,4.61
SO,kismayo,-0.3582,42.5454,79.92,72,17,16.8
KZ,beyneu,45.3167,55.2,40.93,78,91,3.71
AU,port macquarie,-31.4333,152.9167,75.0,73,90,17.27
CA,bay roberts,47.5999,-53.2648,23.0,79,92,3.0
PF,moerai,-22.4333,-151.3333,81.01,72,89,12.64
AO,namibe,-15.1961,12.1522,71.65,84,66,9.17
RU,blagoyevo,63.3667,47.9167,-9.38,88,100,8.3
CN,korla,41.7597,86.1469,46.51,49,11,7.67
LR,monrovia,6.3005,-10.7969,79.81,85,32,4.23
FR,montceau-les-mines,46.6667,4.3667,30.99,93,0,2.3
US,roanoke rapids,36.4615,-77.6542,34.0,100,90,10.36
SB,buala,-8.145,159.5921,83.14,78,82,7.76
RU,nikolskoye,59.7035,30.7861,-0.99,77,20,6.71
GB,bradford,53.7939,-1.7521,39.99,99,70,4.43
PH,dingle,10.9995,122.6711,79.34,82,100,8.95
NO,sandnessjoen,66.0217,12.6316,28.4,50,0,2.3
NE,arlit,18.7369,7.3853,66.33,24,40,7.29
RU,uni,57.7535,51.4923,-1.07,92,97,9.71
GA,mayumba,-3.432,10.6554,79.95,83,100,6.24
MU,grand gaube,-20.0064,57.6608,82.99,72,100,3.0
FR,bernay,49.1667,0.6667,41.0,83,99,5.01
SE,bollnas,61.3482,16.3946,10.0,95,0,2.55
RU,verkhnyaya inta,65.9811,60.3094,-9.76,87,100,10.0
PG,vanimo,-2.6741,141.3028,79.75,84,100,6.62
BR,barreiras,-12.1528,-44.99,71.06,91,100,2.86
CA,aklavik,68.2191,-135.0107,-4.0,84,99,2.3
US,san francisco,37.7749,-122.4194,54.0,93,100,1.01
US,muskogee,35.5834,-95.3336,3.99,85,90,14.97
GY,mabaruma,8.2,-59.7833,74.28,86,73,5.21
JP,rumoi,43.9344,141.6428,37.54,92,100,9.73
GN,tokonou,9.65,-9.7833,69.69,96,12,5.84
PT,camacha,33.0833,-16.3333,59.0,82,0,8.05
MY,georgetown,5.4112,100.3354,91.4,58,20,10.36
US,hilo,19.7297,-155.09,73.4,73,1,6.91
AU,geraldton,-28.7667,114.6,86.0,48,1,13.8
MX,puerto escondido,15.85,-97.0667,71.6,83,1,9.31
UY,rocha,-34.4833,-54.3333,66.18,91,92,1.39
TT,mucurapo,10.6667,-61.5333,78.01,83,40,5.75
MX,acapulco,16.8634,-99.8901,68.49,72,0,5.28
AR,azul,-36.777,-59.8585,64.99,90,57,4.0
UZ,komsomolskiy,40.4272,71.7189,50.0,53,50,2.3
CN,huanren,41.2647,125.3667,15.93,83,19,10.42
MU,mahebourg,-20.4081,57.7,82.4,78,75,4.61
RU,bogorodskoye,56.55,37.8833,-13.65,90,78,5.75
BR,arraial do cabo,-22.9661,-42.0278,75.69,90,98,14.16
BR,amapa,1.0,-52.0,70.29,98,94,2.39
MN,hovd,48.0056,91.6419,22.64,74,3,3.42
CN,binzhou,37.3667,118.0167,44.01,25,0,1.99
DZ,tigzirt,36.8886,4.1198,45.97,72,15,8.5
RU,kostino,58.9097,53.2691,1.89,92,100,7.16
NG,bara,10.3744,10.7288,66.2,26,0,4.76
GL,qasigiannguit,68.8193,-51.1922,8.6,66,90,8.05
GE,khani,41.9563,42.9566,42.8,93,75,9.22
RU,mrakovo,52.7161,56.6244,5.74,92,87,6.53
ID,amuntai,-2.4177,115.2494,83.07,85,93,4.7
RU,pangody,65.85,74.4859,-14.87,89,100,22.03
RU,udachnyy,66.4167,112.4,-24.43,83,100,15.66
VE,san cristobal,7.7669,-72.225,65.52,87,98,1.72
CN,yumen,40.2833,97.2,40.55,56,100,8.68
GL,narsaq,60.9167,-46.05,28.4,86,75,5.75
CA,whitehorse,60.7161,-135.0538,-22.0,76,1,2.55
PF,faanui,-16.4833,-151.75,81.7,74,80,9.42
NE,agadez,19.75,10.25,59.04,28,8,7.67
AR,villa carlos paz,-31.4241,-64.4978,71.01,88,0,6.91
BR,iturama,-19.7281,-50.1956,72.55,87,100,4.61
CV,praya,14.9215,-23.5087,71.6,53,40,16.11
BR,mazagao,-0.115,-51.2894,80.6,94,90,5.75
MU,cap malheureux,-19.9842,57.6142,82.99,72,99,3.0
TR,sorgun,39.8101,35.186,41.25,71,12,3.06
KE,wajir,1.7471,40.0573,75.2,78,20,4.61
NO,melbu,68.5044,14.8297,33.8,86,75,2.3
SA,najran,17.4924,44.1277,59.0,36,0,3.6
RO,mitoc,48.1,27.0333,26.01,86,75,16.11
BR,itarema,-2.9248,-39.9167,78.01,88,61,8.43
RO,granicesti,47.8167,26.0667,27.0,86,75,16.11
IN,gulbarga,17.3333,76.8333,88.34,19,0,11.88
BR,salinopolis,-0.6136,-47.3561,78.19,86,100,10.76
ZA,saldanha,-33.0117,17.9442,57.2,77,0,2.3
ID,prabumulih,-3.45,104.25,83.98,78,79,4.85
MX,luvianos,18.9167,-100.4,52.57,42,0,3.96
US,hamilton,39.1834,-84.5333,19.99,73,90,14.97
AF,mirabad,30.4362,61.8383,67.21,25,0,11.74
BR,carutapera,-1.195,-46.02,75.51,94,100,5.32
AR,comodoro rivadavia,-45.8667,-67.5,51.8,76,0,4.61
IE,clonakilty,51.6231,-8.8706,48.99,100,75,16.11
BR,vila velha,-20.3297,-40.2925,78.8,78,75,11.5
RE,saint-pierre,-21.3393,55.4781,84.2,65,20,6.91
KZ,aktas,49.7789,72.9608,23.0,74,0,22.37
JP,fukue,32.6881,128.8419,53.6,71,75,16.11
TR,idil,37.3411,41.8895,52.07,47,2,5.86
BR,cururupu,-1.8283,-44.8683,74.62,96,100,2.46
RU,zdvinsk,54.7021,78.661,23.5,98,99,9.06
ML,taoudenni,22.6783,-3.9836,63.0,30,0,22.15
NO,malm,64.0721,11.2172,32.0,68,0,8.05
CA,port hardy,50.6996,-127.4199,41.0,81,90,20.71
PT,lagoa,39.05,-27.9833,53.47,65,57,30.2
GT,champerico,14.3,-91.9167,57.99,62,0,3.0
CA,flin flon,54.7682,-101.865,-10.66,88,76,5.1
NC,vao,-22.6667,167.4833,80.31,72,30,1.72
RU,kuzhener,56.8111,48.9128,-6.18,91,97,7.87
US,berea,41.3662,-81.8543,21.99,79,90,9.22
ES,lalin,42.7167,-8.1167,53.6,66,20,12.66
RU,tayturka,52.8692,103.4608,0.09,88,35,7.05
RU,alekseyevsk,57.8406,108.3492,-9.67,85,100,3.62
RU,komsomolsk-na-amure,50.552,137.0152,10.49,90,99,5.19
MX,lampazos de naranjo,27.0167,-100.5167,30.02,81,92,15.01
CN,yangjiang,21.85,111.9667,77.0,50,11,6.98
MX,coahuayana,18.7333,-103.6833,64.26,79,36,3.78
RU,tevriz,57.509,72.4042,21.04,94,82,11.77
SO,bandarbeyla,9.4942,50.8122,77.25,64,31,12.28
VU,isangel,-19.55,169.2667,83.39,75,100,3.69
IT,tortoli,39.9256,9.6572,39.2,41,75,28.77
FI,rovaniemi,66.5,25.7167,3.2,85,90,6.91
LA,luang prabang,19.8856,102.1347,80.6,47,0,2.3
IR,hashtrud,37.4779,47.0508,43.43,53,0,1.81
AR,rawson,-43.3002,-65.1023,57.07,65,11,13.89
PE,chicama,-7.8447,-79.1469,72.79,73,26,5.28
AU,yulara,-25.2406,130.9889,95.0,14,27,8.05
BJ,nikki,9.9401,3.2108,70.18,91,0,4.43
CA,la sarre,48.8002,-79.1996,-7.22,91,99,4.65
US,ashland,40.8167,-82.2665,18.0,86,90,6.91
CA,thunder bay,48.4001,-89.3168,-16.01,69,1,8.05
KZ,serebryansk,49.6925,83.2892,14.0,73,75,2.24
LY,sabha,27.0377,14.4283,47.64,73,0,12.59
US,laguna,38.421,-121.4238,51.01,76,90,3.44
RU,tommot,58.9564,126.2925,-10.05,85,100,6.46
CA,valleyview,55.0667,-117.2859,-4.0,71,100,19.57
JP,shingu,33.7333,135.9833,59.0,77,75,16.11
CN,shache,38.4167,77.2406,45.16,53,4,3.38
ET,mizan teferi,6.9833,35.5833,75.99,43,94,1.34
TZ,kilindoni,-7.9139,39.6668,82.0,78,91,15.66
MG,sambava,-14.2667,50.1667,82.31,72,97,2.73
BW,masunga,-20.6246,27.4488,69.8,100,0,5.75
US,glendive,47.1053,-104.7125,-13.0,70,1,5.75
GL,nanortalik,60.1432,-45.2371,21.15,89,30,13.0
KE,garissa,-0.4536,39.6401,76.86,71,87,3.89
MX,celestun,20.8667,-90.4,73.15,75,0,10.54
RU,gornopravdinsk,60.05,69.9,0.64,92,88,6.55
ET,ginir,7.1333,40.7,67.77,33,0,5.23
KZ,borovskoy,53.8,64.15,17.94,94,94,13.31
RU,ust-nera,64.5667,143.2,-16.37,78,12,1.43
IS,dalvik,65.9702,-18.5286,35.6,87,90,5.75
ES,los llanos de aridane,28.6585,-17.9182,60.8,82,0,8.05
US,havelock,34.8791,-76.9013,42.8,93,90,12.66
CL,iquique,-20.2208,-70.1431,68.0,64,0,12.66
ID,sibolga,1.7427,98.7792,88.75,56,76,6.85
SI,sevnica,46.0078,15.3156,24.01,86,0,3.44
PE,sechura,-5.5569,-80.8222,76.6,68,54,10.18
JP,tateyama,34.9833,139.8667,66.2,88,75,25.32
TD,ati,13.2154,18.3353,71.2,21,0,8.16
CN,linxia,35.6003,103.2064,37.58,66,100,3.56
US,nantucket,41.2835,-70.0995,37.0,100,90,8.05
ES,naron,43.5167,-8.1528,61.0,55,0,12.66
LK,wattegama,6.7989,81.4808,86.0,79,20,9.22
RU,petrozavodsk,61.7849,34.3469,-14.8,84,18,8.95
SA,umm lajj,25.0213,37.2685,75.7,57,0,3.4
MX,tecoanapa,16.5167,-98.75,68.25,73,0,5.61
CN,xuanhua,40.6103,115.0447,40.12,48,13,22.66
BR,belmonte,-15.8631,-38.8828,75.2,78,20,4.61
BR,santa maria,-29.6842,-53.8069,66.18,88,30,3.31
MY,kuala kedah,6.1,100.3,91.4,49,20,8.05
CD,boende,-0.2167,20.8667,75.15,89,100,3.38
BR,canutama,-6.5339,-64.3831,73.44,99,100,0.29
TR,emet,39.343,29.2585,23.49,96,100,7.38
CA,havre-saint-pierre,50.2334,-63.5986,6.8,78,75,5.75
BR,humaita,-7.5061,-63.0208,73.44,97,100,2.91
MM,akyab,20.15,92.9,79.66,40,0,13.56
TZ,lupiro,-8.3833,36.6667,76.77,80,72,2.8
RU,tselinnoye,53.0833,85.6667,23.32,94,99,6.08
MY,marang,5.2056,103.2059,86.0,58,20,6.91
KZ,atasu,48.6814,71.6433,24.89,93,85,2.77
MX,mocorito,25.4833,-107.9167,57.99,89,90,1.01
RO,asau,46.4333,26.4,24.01,57,50,4.92
CA,smithers,54.7804,-127.1743,17.6,86,90,2.3
PG,port moresby,-9.4431,147.1797,84.2,74,75,23.02
CA,high level,58.5169,-117.136,3.2,66,1,14.97
MG,morondava,-20.2833,44.2833,76.95,85,100,12.01
CD,kasongo-lunda,-6.4667,16.8167,72.39,88,100,1.25
CA,pangnirtung,66.1451,-65.7125,-13.36,79,98,2.89
US,kahului,20.8947,-156.47,75.2,78,40,3.44
ID,biak,-0.9131,122.8766,85.05,66,97,1.43
NC,poum,-20.2333,164.0167,81.09,76,4,10.42
ID,meulaboh,4.1363,96.1285,86.97,65,70,6.22
ID,kefamenanu,-9.4467,124.4781,81.77,73,99,3.74
EG,abnub,27.2696,31.1511,50.0,71,0,11.5
RU,mnogovershinnyy,53.9353,139.9242,5.25,94,84,3.44
IQ,bayji,34.9311,43.487,64.6,38,0,5.1
PK,khanpur,28.6453,70.6567,82.81,14,0,1.97
US,sebring,27.4956,-81.4409,72.0,88,1,5.75
NZ,ahipara,-35.1667,173.1667,70.77,81,60,22.28
NE,bilma,18.6853,12.9164,63.91,25,0,13.51
AU,port lincoln,-34.7333,135.8667,72.34,56,1,8.28
